"","site_code","date_full","period","minute_hm","n_segments","total_n_calls","mean_interval","mean_peakfreq","mean_bandw","mean_centroid","min_freq","max_freq","minute_label"
"1","BJS",2024-04-21,"T1_early","0750",3,25,0.313224761904762,5336,1496,4968,1000,6700,"BJS_20240421_0750"
"2","BJS",2024-04-22,"T1_early","0840",17,121,0.387605839385592,3747.10743801653,1323.14049586777,3752.06611570248,800,5500,"BJS_20240422_0840"
"3","BJS",2024-04-22,"T1_early","1140",1,11,0.3997,4281.81818181818,1327.27272727273,4563.63636363636,1300,5800,"BJS_20240422_1140"
"4","BJS",2024-04-25,"T1_early","0800",3,24,0.398935185185185,4112.5,1620.83333333333,4004.16666666667,1000,8700,"BJS_20240425_0800"
"5","BJS",2024-04-25,"T1_early","0910",2,18,0.344380952380952,3455.55555555556,2244.44444444444,3805.55555555556,1000,6200,"BJS_20240425_0910"
"6","BJS",2024-04-25,"T1_early","1000",6,59,0.342491317157419,3708.47457627119,1649.15254237288,3672.8813559322,1000,6500,"BJS_20240425_1000"
"7","BJS",2024-04-26,"T1_early","1040",11,82,0.413320925280681,3293.90243902439,1368.29268292683,3290.24390243902,2000,4800,"BJS_20240426_1040"
"8","BJS",2024-04-27,"T1_early","0640",1,15,0.289,3873.33333333333,1873.33333333333,3893.33333333333,2500,5600,"BJS_20240427_0640"
"9","BJS",2024-04-30,"T1_early","1530",2,14,0.420159183673469,2264.28571428571,2392.85714285714,3364.28571428571,1000,7500,"BJS_20240430_1530"
"10","BJS",2024-05-01,"T1_early","0700",1,12,0.318545454545455,3316.66666666667,2283.33333333333,3500,1000,5600,"BJS_20240501_0700"
"11","BJS",2024-05-02,"T1_early","0800",2,16,0.387714285714286,3312.5,1450,3300,1700,4900,"BJS_20240502_0800"
"12","BJS",2024-05-02,"T1_early","0900",5,31,0.448840322580645,2687.09677419355,2319.35483870968,3164.51612903226,800,5500,"BJS_20240502_0900"
"13","BJS",2024-05-02,"T1_early","1730",2,19,0.358150877192982,3515.78947368421,2468.42105263158,3615.78947368421,800,8700,"BJS_20240502_1730"
"14","BJS",2024-05-04,"T1_early","0620",2,11,0.600231818181818,3036.36363636364,1936.36363636364,3409.09090909091,1000,9300,"BJS_20240504_0620"
"15","BJS",2024-05-04,"T1_early","0640",1,8,0.393857142857143,4950,1612.5,4600,1500,6700,"BJS_20240504_0640"
"16","BJS",2024-05-05,"T1_early","1350",1,8,0.387142857142857,4687.5,2487.5,4437.5,1200,6500,"BJS_20240505_1350"
"17","BJS",2024-05-06,"T1_early","0630",1,12,0.323090909090909,2883.33333333333,2483.33333333333,3500,1000,6300,"BJS_20240506_0630"
"18","BJS",2024-05-06,"T1_early","1100",1,12,0.260818181818182,1983.33333333333,3158.33333333333,3475,1000,8600,"BJS_20240506_1100"
"19","BJS",2024-05-06,"T1_early","1210",15,149,0.36694542524962,5002.68456375839,2007.38255033557,4669.12751677852,800,7900,"BJS_20240506_1210"
"20","BJS",2024-05-06,"T1_early","1240",1,4,1.06833333333333,3050,2925,4225,1200,6200,"BJS_20240506_1240"
"21","BJS",2024-05-06,"T1_early","1310",1,4,0.7,4400,2025,4425,1000,7500,"BJS_20240506_1310"
"22","BJS",2024-05-07,"T1_early","0630",5,31,0.533917434715822,3709.67741935484,2290.32258064516,4093.54838709677,800,9100,"BJS_20240507_0630"
"23","BJS",2024-05-07,"T1_early","0750",14,119,0.380352204215019,4140.33613445378,1883.19327731092,4110.08403361345,800,7700,"BJS_20240507_0750"
"24","BJS",2024-05-07,"T1_early","0820",8,78,0.384578740881626,3516.66666666667,2226.92307692308,3944.8717948718,1000,8700,"BJS_20240507_0820"
"25","BJS",2024-05-07,"T1_early","0950",2,29,0.304453012504737,3717.24137931034,1775.86206896552,3675.86206896552,800,5800,"BJS_20240507_0950"
"26","BJS",2024-05-07,"T1_early","1200",4,23,0.511299689440994,2847.82608695652,2582.60869565217,3639.13043478261,800,8700,"BJS_20240507_1200"
"27","BJS",2024-05-07,"T1_early","1220",5,33,0.403499422799423,5606.06060606061,1315.15151515152,5430.30303030303,2200,6700,"BJS_20240507_1220"
"28","BJS",2024-05-07,"T1_early","1230",1,4,0.608,2950,3275,3825,1000,8600,"BJS_20240507_1230"
"29","BJS",2024-05-07,"T1_early","1710",1,4,0.906,7950,2575,6475,6500,9900,"BJS_20240507_1710"
"30","BJS",2024-05-08,"T1_early","0600",14,134,0.341961709082791,3112.68656716418,1444.77611940299,3282.08955223881,800,5600,"BJS_20240508_0600"
"31","BJS",2024-05-08,"T1_early","0640",2,28,0.25878431372549,4532.14285714286,2246.42857142857,4410.71428571429,800,8000,"BJS_20240508_0640"
"32","BJS",2024-05-08,"T1_early","0800",1,9,0.363,4366.66666666667,1888.88888888889,3977.77777777778,1000,6700,"BJS_20240508_0800"
"33","BJS",2024-05-08,"T1_early","0820",5,35,0.37153537414966,2720,1348.57142857143,2920,1000,4100,"BJS_20240508_0820"
"34","BJS",2024-05-08,"T1_early","0830",23,202,0.327450129655823,2836.13861386139,1928.21782178218,3259.40594059406,800,9100,"BJS_20240508_0830"
"35","BJS",2024-05-08,"T1_early","0920",2,12,0.711576388888889,2825,2966.66666666667,3183.33333333333,1000,8900,"BJS_20240508_0920"
"36","BJS",2024-05-08,"T1_early","1140",13,79,0.476425105485232,3000,1982.27848101266,3515.18987341772,1000,7000,"BJS_20240508_1140"
"37","BJS",2024-05-08,"T1_early","1320",7,31,0.428170430107527,2125.8064516129,1932.25806451613,2696.77419354839,1000,8900,"BJS_20240508_1320"
"38","BJS",2024-05-09,"T1_early","0800",3,40,0.309517307692308,3822.5,1252.5,3900,1700,4900,"BJS_20240509_0800"
"39","BJS",2024-05-09,"T1_early","1150",1,13,0.308666666666667,4992.30769230769,2884.61538461539,5292.30769230769,1000,10100,"BJS_20240509_1150"
"40","BJS",2024-05-09,"T1_early","1650",2,8,1.08028125,2362.5,1962.5,4187.5,1200,6800,"BJS_20240509_1650"
"41","BJS",2024-05-11,"T1_early","0720",3,25,0.349294285714286,3204,2484,3820,1300,7200,"BJS_20240511_0720"
"42","BJS",2024-05-11,"T1_early","0750",1,15,0.284357142857143,4740,2000,4833.33333333333,3400,6800,"BJS_20240511_0750"
"43","BJS",2024-05-11,"T1_early","1000",7,52,0.416184981684982,3126.92307692308,1707.69230769231,3332.69230769231,1500,6000,"BJS_20240511_1000"
"44","BJS",2024-05-12,"T1_early","0710",3,28,0.348585714285714,2257.14285714286,2532.14285714286,3328.57142857143,800,7400,"BJS_20240512_0710"
"45","BJS",2024-05-12,"T1_early","0720",2,18,0.385012345679012,3988.88888888889,1600,4300,2700,6200,"BJS_20240512_0720"
"46","BJS",2024-05-12,"T1_early","0910",6,97,0.229385452462772,3776.28865979381,1835.05154639175,4106.18556701031,2000,6700,"BJS_20240512_0910"
"47","BJS",2024-05-12,"T1_early","1200",6,35,0.520952380952381,3220,3260,3894.28571428571,800,8900,"BJS_20240512_1200"
"48","BJS",2024-05-12,"T1_early","1600",1,10,0.316555555555556,2290,2340,3430,800,8000,"BJS_20240512_1600"
"49","BJS",2024-05-13,"T1_early","1110",8,46,0.498920117322291,4367.39130434783,1919.5652173913,4452.17391304348,800,7500,"BJS_20240513_1110"
"50","BJS",2024-05-14,"T1_early","0640",1,3,0.583,2466.66666666667,1566.66666666667,3000,1000,4900,"BJS_20240514_0640"
"51","BJS",2024-05-14,"T1_early","0930",1,4,0.851,2675,3725,4350,800,8200,"BJS_20240514_0930"
"52","BJS",2024-05-14,"T1_early","1630",2,13,0.252048076923077,5376.92307692308,1669.23076923077,5330.76923076923,3400,6700,"BJS_20240514_1630"
"53","BJS",2024-05-15,"T1_early","0820",3,27,0.332199588477366,4629.62962962963,2707.40740740741,4866.66666666667,1200,8700,"BJS_20240515_0820"
"54","BJS",2024-05-16,"T1_early","0840",1,3,0.4495,3866.66666666667,2333.33333333333,4433.33333333333,1700,5600,"BJS_20240516_0840"
"55","BJS",2024-05-16,"T1_early","0850",1,11,0.3669,2690.90909090909,2018.18181818182,3681.81818181818,1200,4300,"BJS_20240516_0850"
"56","BJS",2024-05-16,"T1_early","0920",2,15,0.344831746031746,3073.33333333333,2493.33333333333,3820,1200,7000,"BJS_20240516_0920"
"57","BJS",2024-05-17,"T2_mid","0630",1,7,0.327833333333333,4457.14285714286,1814.28571428571,4128.57142857143,2700,6800,"BJS_20240517_0630"
"58","BJS",2024-05-18,"T2_mid","0650",1,7,0.433833333333333,3157.14285714286,3800,3857.14285714286,1000,8200,"BJS_20240518_0650"
"59","BJS",2024-05-18,"T2_mid","1120",1,13,0.273166666666667,3438.46153846154,1507.69230769231,3592.30769230769,1700,5100,"BJS_20240518_1120"
"60","BJS",2024-05-19,"T2_mid","0610",1,8,0.371,3325,1950,3662.5,1500,5800,"BJS_20240519_0610"
"61","BJS",2024-05-19,"T2_mid","0640",1,3,0.259,5100,2266.66666666667,4800,4100,6800,"BJS_20240519_0640"
"62","BJS",2024-05-19,"T2_mid","0710",1,15,0.277928571428571,3426.66666666667,2000,4013.33333333333,1700,5800,"BJS_20240519_0710"
"63","BJS",2024-05-19,"T2_mid","0850",1,4,0.541333333333333,2125,1425,2625,1300,3600,"BJS_20240519_0850"
"64","BJS",2024-05-19,"T2_mid","0950",2,13,0.504549450549451,5307.69230769231,2546.15384615385,4938.46153846154,800,8900,"BJS_20240519_0950"
