site_code,PLAND_gs,PD_gs,ED_gs,MPS_gs,ENN_gs,COHESION_gs,MESH_gs,PLAND_core,PD_core,MPS_core,PLAND_edge ,PD_edge ,MPS_edge ,PLAND_islet,PD_islet,MPS_islet,PLAND_gallery ,PD_gallery ,MPS_gallery 
BJS,18.9823,1.2706,21.5361,14.94,318.9207,97.5896,11.2416,13.2075,0.3176,41.58,4.1738,1.2706,3.285,0.0858,0.9529,0.09,1.5152,4.1293,0.3669
DP4,68.6426,2.8637,49.9236,23.97,69.4721,98.9717,129.5092,56.5006,2.5455,22.1962,7.732,4.7728,1.62,0.4582,2.2273,0.2057,3.9519,9.2274,0.4283
DSH,11.1842,4.7674,38.2342,2.346,105.2167,91.1968,1.4192,2.8032,1.5891,1.764,3.4325,3.4961,0.9818,1.0584,3.8139,0.2775,3.8902,4.7674,0.816
FHS,61.3513,1.2724,16.4138,48.2175,200.114,99.3679,117.6669,56.7134,0.6362,89.145,3.779,1.2724,2.97,0.1718,0.9543,0.18,0.6871,2.5448,0.27
GL,1.2579,1.9059,6.5752,0.66,151.1785,70.13,0.0145,0.0286,0.3176,0.09,0.2287,0.3176,0.72,0.8005,1.5882,0.504,0.2001,0.9529,0.21
LHS,25.6432,1.5882,25.4431,16.146,66,97.9748,20.198,18.9537,0.6353,29.835,5.0029,1.9059,2.625,0.3145,1.2706,0.2475,1.3722,4.447,0.3086
LT,72.8809,2.2273,58.8965,32.7214,64.5621,99.4677,159.8301,55.7847,2.2273,25.0457,12.4857,8.2729,1.5092,0.5727,1.2728,0.45,4.0378,8.5911,0.47
MLS,84.9986,1.2724,38.0762,66.8025,92.7379,99.7956,226.3606,72.5451,0.9543,76.02,9.7338,6.68,1.4571,0.0286,0.3181,0.09,2.6911,4.7714,0.564
PH,30.4373,3.4931,60.8745,8.7136,66.389,97.278,20.9052,15.09,1.9053,7.92,9.0026,6.6686,1.35,0.9145,2.5404,0.36,5.4301,8.2563,0.6577
SZT,91.2782,1.2709,34.3151,71.82,67.082,99.8638,261.2396,81.6128,1.2709,64.215,6.6057,7.3079,0.9039,0.1716,0.9532,0.18,2.8882,6.0369,0.4784
SZW2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLJ,68.8323,0.954,26.6171,72.15,91.6228,99.5253,147.3849,60.1603,0.318,189.18,7.0693,4.4521,1.5879,0.3721,0.636,0.585,1.2307,3.1801,0.387
TLS,51.8582,3.4941,35.5441,14.8418,92.9907,98.7661,80.1688,42.5386,1.5882,26.784,7.1184,3.4941,2.0373,0.7719,2.8588,0.27,1.4294,4.447,0.3214
TZS,25.2647,1.5896,30.8059,15.894,76.2887,97.0366,15.7217,16.5093,0.9537,17.31,6.867,2.2254,3.0857,0.3147,0.6358,0.495,1.5737,4.7687,0.33
WT,71.5756,0.9532,28.7866,75.09,157.6539,99.4596,156.0406,62.9111,0.6355,99,7.5207,2.8596,2.63,0.0286,0.3177,0.09,1.1152,4.766,0.234
XH,83.3,0.6355,50.3289,131.085,60,99.8198,218.0879,67.4864,0.9532,70.8,13.4115,7.9433,1.6884,0.0572,0.3177,0.18,2.3449,6.6724,0.3514
XL,54.2334,3.8139,83.524,14.22,74.943,97.3859,35.5626,29.9485,5.0852,5.8894,17.7918,13.6664,1.3019,0.3432,2.2248,0.1543,6.1499,14.9377,0.4117
YHS,55.5619,2.5419,57.5732,21.8588,77.9717,99.1947,94.5819,39.6054,2.5419,15.5812,12.0675,6.6724,1.8086,0.3717,1.2709,0.2925,3.5173,8.5788,0.41
YLW,48.0508,1.3126,36.326,36.6075,113.8525,99.1377,69.9293,37.0529,2.2254,16.65,5.8655,6.6762,0.8786,0.1431,0.9537,0.15,3.4907,6.0404,0.5779
YTS,50.4718,1.5887,25.3551,31.77,86.8328,99.0347,78.8197,43.6088,0.6355,68.625,4.8613,2.8596,1.7,0.3146,0.9532,0.33,1.6872,3.1773,0.531
YZL,15.7171,2.2267,20.0401,7.0586,279.9724,96.0476,6.6549,10.335,0.6362,16.245,4.4947,1.5905,2.826,0.2004,1.5905,0.126,0.6871,3.4991,0.1964
