field_1,site_code,Latitude,Longitude,mean_peakf,HubName1,HubDist1,HubName2,HubDist2
1,BJS,22.561307480000000,114.071963999999994,3712.501996732889893,primary,889.962132033797502,secondary,890.753620360632908
2,DP4,22.530099050000000,114.523732800000005,4356.641910672089580,primary,1628.887580838809527,secondary,1460.114359475785704
3,DSH,22.558208069999999,113.956657000000007,3369.210445194350086,motorway,474.780080701584893,secondary,378.386962708426609
4,FHS,22.682258200000000,113.845890999999995,3842.303377020350126,primary,454.445367765780020,secondary,605.493123446341656
5,GL,22.686920460000000,114.039273499999993,3045.756625030279793,motorway,409.279648239972005,secondary,257.319319655540596
6,LHS,22.554965230000001,114.059958300000005,3254.583346931350206,primary,272.781190480907583,secondary,364.905685375315329
7,LT,22.826746560000000,113.886238199999994,3417.399156002879863,motorway,705.178487132439727,secondary,1700.309187080335278
8,MLS,22.612627600000000,114.309034400000002,4219.945844631880391,motorway,862.213569202754229,secondary,1228.799622321879269
9,PH,22.680743499999998,114.110643600000003,4005.545160889349972,primary,641.104871582390729,secondary,442.163659351375429
10,SZW2,22.524214720000000,113.993808700000002,4093.023860855359999,trunk,300.800761968737902,secondary,756.904636258736900
11,TLJ,22.661905369999999,114.272230899999997,3505.452478961420184,trunk,284.538187126119169,secondary,189.225405998377568
12,TLS,22.570592659999999,113.973193600000002,3638.079378733179965,trunk,493.975214374140080,secondary,530.561310317999869
13,TZS,22.596599970000000,113.851456799999994,3823.444388872930176,primary,510.129141660063226,secondary,541.300806313751650
14,WT,22.568373410000000,114.231837200000001,3420.770325078200131,motorway,1021.028690638991520,secondary,1353.588882149008668
15,XH,22.584607030000001,114.172606799999997,4209.544879695419695,motorway,1215.554958225850896,secondary,1865.761414845599120
16,XL,22.615548860000001,113.940043599999996,3531.875399536450004,primary,621.050634521900747,secondary,2062.645571081950493
17,YHS,22.581006590000001,114.075774199999998,4116.114055128119617,primary,1279.506510128610671,secondary,1413.239344500501602
18,YLW,22.504388100000000,113.894460800000004,3311.088974127439997,primary,501.927010842390018,secondary,1856.019742025267306
19,YTS,22.670943520000002,113.978910799999994,3954.952370815699851,trunk,169.018377896604022,secondary,462.599293582602854
20,YZL,22.704053020000000,114.256153600000005,3883.015939853540203,motorway,582.732050224693353,secondary,916.911648274507229
