"","site_code","date_full","period","minute_hm","n_segments","total_n_calls","mean_interval","mean_peakfreq","mean_bandw","mean_centroid","min_freq","max_freq","minute_label","base_time","car_driving","frog","insect","car_horn","bird","human_voice","human_knocking","rain","music","site","low_freq_strength","mid_high_freq_strength","low_mid_high_freq_strength","constant_strength","pulse_strength","structural_strength","hour","minute","time_decimal"
"1","BJS",2024-04-21,"T1_early","0750",3,25,0.313224761904762,5336,1496,4968,1000,6700,"BJS_20240421_0750","BJS_20240421_075000",60,0,60,0,10.574,0,0,0,0,"BJS",0.333333333333333,0.588116666666667,0,0.666666666666667,0,0.0587444444444444,7,50,7.83333333333333
"2","BJS",2024-04-22,"T1_early","0840",17,121,0.387605839385592,3747.10743801653,1323.14049586777,3752.06611570248,800,5500,"BJS_20240422_0840","BJS_20240422_084000",60,0,60,0,5.717,0,0,0,0,"BJS",0.333333333333333,0.547641666666667,0,0.666666666666667,0,0.0317611111111111,8,40,8.66666666666667
"3","BJS",2024-04-22,"T1_early","1140",1,11,0.3997,4281.81818181818,1327.27272727273,4563.63636363636,1300,5800,"BJS_20240422_1140","BJS_20240422_114000",60,0.256,60,0,24.764,0,0.255999999999998,0,0,"BJS",0.333333333333333,0.706366666666667,0.00213333333333333,0.666666666666667,0.00284444444444444,0.137577777777778,11,40,11.6666666666667
"4","BJS",2024-04-25,"T1_early","0800",3,24,0.398935185185185,4112.5,1620.83333333333,4004.16666666667,1000,8700,"BJS_20240425_0800","BJS_20240425_080000",60,0,60,0,26.955,0.448,0.512,0,0,"BJS",0.335822222222222,0.724625,0.00213333333333334,0.666666666666667,0.00284444444444445,0.152238888888889,8,0,8
"5","BJS",2024-04-25,"T1_early","0910",2,18,0.344380952380952,3455.55555555556,2244.44444444444,3805.55555555556,1000,6200,"BJS_20240425_0910","BJS_20240425_091000",60,0,60,0,14.999,0,0,60,0,"BJS",0.333333333333333,0.624991666666667,0.25,1,0,0.0833277777777778,9,10,9.16666666666667
"6","BJS",2024-04-25,"T1_early","1000",6,59,0.342491317157419,3708.47457627119,1649.15254237288,3672.8813559322,1000,6500,"BJS_20240425_1000","BJS_20240425_100000",60,0,60,0,14.365,0,0,0,0,"BJS",0.333333333333333,0.619708333333333,0,0.666666666666667,0,0.0798055555555556,10,0,10
"7","BJS",2024-04-26,"T1_early","1040",11,82,0.413320925280681,3293.90243902439,1368.29268292683,3290.24390243902,2000,4800,"BJS_20240426_1040","BJS_20240426_104000",60,0,60,0,35.188,0,0,16.592,0,"BJS",0.333333333333333,0.793233333333333,0.0691333333333333,0.758844444444445,0,0.195488888888889,10,40,10.6666666666667
"8","BJS",2024-04-27,"T1_early","0640",1,15,0.289,3873.33333333333,1873.33333333333,3893.33333333333,2500,5600,"BJS_20240427_0640","BJS_20240427_064000",60,0,60,0,19.952,0,0,0,0,"BJS",0.333333333333333,0.666266666666667,0,0.666666666666667,0,0.110844444444444,6,40,6.66666666666667
"9","BJS",2024-04-30,"T1_early","1530",2,14,0.420159183673469,2264.28571428571,2392.85714285714,3364.28571428571,1000,7500,"BJS_20240430_1530","BJS_20240430_153000",60,0,60,0,0,0.32,0,0,0,"BJS",0.335111111111111,0.5,0,0.666666666666667,0,0.00177777777777778,15,30,15.5
"10","BJS",2024-05-01,"T1_early","0700",1,12,0.318545454545455,3316.66666666667,2283.33333333333,3500,1000,5600,"BJS_20240501_0700","BJS_20240501_070000",60,0,60,0,10.966,0,0,17.808,0,"BJS",0.333333333333333,0.591383333333333,0.0742,0.7656,0,0.0609222222222222,7,0,7
"11","BJS",2024-05-02,"T1_early","0800",2,16,0.387714285714286,3312.5,1450,3300,1700,4900,"BJS_20240502_0800","BJS_20240502_080000",60,0,60,0,20.236,0,0,0,0,"BJS",0.333333333333333,0.668633333333333,0,0.666666666666667,0,0.112422222222222,8,0,8
"12","BJS",2024-05-02,"T1_early","0900",5,31,0.448840322580645,2687.09677419355,2319.35483870968,3164.51612903226,800,5500,"BJS_20240502_0900","BJS_20240502_090000",60,0,60,0,16.623,0,0,0,0,"BJS",0.333333333333333,0.638525,0,0.666666666666667,0,0.09235,9,0,9
"13","BJS",2024-05-02,"T1_early","1730",2,19,0.358150877192982,3515.78947368421,2468.42105263158,3615.78947368421,800,8700,"BJS_20240502_1730","BJS_20240502_173000",60,0,60,0,4.223,3.008,0,0,0,"BJS",0.350044444444444,0.535191666666667,0,0.666666666666667,0,0.0401722222222222,17,30,17.5
"14","BJS",2024-05-04,"T1_early","0620",2,11,0.600231818181818,3036.36363636364,1936.36363636364,3409.09090909091,1000,9300,"BJS_20240504_0620","BJS_20240504_062000",60,0.32,60,0,10.07,0,1.408,0,0,"BJS",0.333333333333333,0.583916666666667,0.0072,0.666666666666667,0.00959999999999999,0.0559444444444444,6,20,6.33333333333333
"15","BJS",2024-05-04,"T1_early","0640",1,8,0.393857142857143,4950,1612.5,4600,1500,6700,"BJS_20240504_0640","BJS_20240504_064000",60,0.384,60,0,22.903,0,0,0,0,"BJS",0.333333333333333,0.690858333333333,0.0016,0.666666666666667,0.00213333333333334,0.127238888888889,6,40,6.66666666666667
"16","BJS",2024-05-05,"T1_early","1350",1,8,0.387142857142857,4687.5,2487.5,4437.5,1200,6500,"BJS_20240505_1350","BJS_20240505_135000",60,0,60,0,9.366,3.008,0,0,0,"BJS",0.350044444444444,0.57805,0,0.666666666666667,0,0.0687444444444444,13,50,13.8333333333333
